f2,b2,v2,x2,y2,r2,theta2,x8,y8,r8, theta8 
92.16,-4.85,0.1,4.609257,0.03497142,0.04601954,0.2522203,0.0541804,0.000778202,0.054188,0.822
92.16,-4.95,0.1,4.601945,-0.001570137,0.04601949,359.8896,0.0541728,0.000816349,0.0541804,0.87
92.16,-5.05,0.1,4.601945,0.0203548,0.04594679,359.9804,0.0541804,0.00080872,0.054188,0.858
92.16,-5.15,0.1,4.601945,-0.001570137,0.04601964,359.8895,0.0541804,0.000797275,0.054188,0.846
92.16,-5.25,0.1,4.609257,-0.008878449,0.04609275,359.8893,0.0541766,0.000804905,0.0541842,0.852
92.16,-5.35,0.1,4.609257,0.005738174,0.04594642,0.07110326,0.0541766,0.000804905,0.0541842,0.852
92.16,-5.45,0.1,4.601945,0.0203548,0.04609302,0.07144216,0.0541689,0.000789646,0.0541766,0.84
92.16,-5.56,0.1,4.601945,0.02766311,0.04616572,0.2526197,0.0541689,0.00100327,0.0541804,1.062
92.16,-5.66,0.1,4.594634,-0.008878449,0.04587368,359.9804,0.0541689,0.000835422,0.0541804,0.888
92.16,-5.76,0.1,4.594634,0.005738174,0.04601946,0.07132883,0.0541766,0.000762943,0.0541842,0.81
92.16,-5.86,0.1,4.601945,-0.001570137,0.04616587,359.8896,0.0541728,0.000820164,0.0541804,0.87
92.16,-5.96,0.1,4.609257,0.0203548,0.04616577,0.1624327,0.0541728,0.000785831,0.0541804,0.834
92.16,-6.06,0.1,4.601945,-0.008878449,0.04594717,0.1626912,0.0541766,0.00080872,0.0541842,0.858
92.16,-6.16,0.1,4.601945,-0.001570137,0.04609265,0.1621751,0.0541728,0.000785831,0.0541842,0.834
92.16,-6.26,0.1,4.609257,0.04227973,0.0460926,0.1621751,0.0541728,0.000869755,0.0541804,0.918
92.16,-6.36,0.1,4.601945,-0.008878449,0.04594766,0.07144216,0.0541766,0.000804905,0.0541842,0.852
92.16,-6.46,0.1,4.609257,0.005738174,0.04594679,0.1626912,0.0541728,0.000823978,0.0541804,0.87
92.16,-6.57,0.1,4.601945,0.0203548,0.04616652,359.9804,0.0541651,0.00104142,0.0541766,1.104
92.16,-6.67,0.1,4.601945,-0.008878449,0.04594679,359.8898,0.0541728,0.000793461,0.0541804,0.846
92.16,-6.77,0.1,4.609257,-0.001570137,0.04616577,0.3438646,0.0541651,0.000820164,0.0541728,0.87
92.16,-6.87,0.1,4.601945,0.005738174,0.04616587,0.2530204,0.0541689,0.000835422,0.0541766,0.888
92.16,-6.97,0.1,4.616569,0.005738174,0.04602028,359.8896,0.0541689,0.000793461,0.0541766,0.846
92.16,-7.07,0.1,4.609257,0.005738174,0.04601954,359.9805,0.0541651,0.000793461,0.0541728,0.846
92.16,-7.17,0.1,4.616569,0.02766311,0.04616587,0.1621751,0.0541651,0.000820164,0.0541728,0.87
92.16,-7.27,0.1,4.601945,0.02766311,0.04601949,0.2542303,0.0541728,0.000839237,0.0541804,0.888
92.16,-7.37,0.1,4.594634,-0.001570137,0.04602028,0.07132883,0.0541728,0.000816349,0.0541804,0.864
92.16,-7.47,0.1,4.594634,0.0203548,0.04616572,0.3444109,0.0541689,0.000789646,0.0541766,0.834
92.16,-7.58,0.1,4.609257,0.02766311,0.04623884,359.9804,0.0541689,0.00104142,0.0541804,1.104
92.16,-7.68,0.1,4.609257,-0.001570137,0.0460199,0.07144216,0.0541728,0.000839237,0.0541804,0.888
92.16,-7.78,0.1,4.601945,0.01304649,0.04616587,0.1626912,0.0541651,0.00080109,0.0541728,0.852
92.16,-7.88,0.1,4.594634,-0.001570137,0.04587323,359.8895,0.0541689,0.000843052,0.0541766,0.894
92.16,-7.98,0.1,4.609257,-0.008878449,0.04594766,359.9805,0.0541728,0.000770573,0.0541804,0.816
92.16,-8.08,0.1,4.601945,-0.001570137,0.04609257,359.8896,0.0541689,0.000843052,0.0541766,0.894
