t,i,temp_desired,temp_tc,therm_res,therm_temp
1684263722.7115598,32,0.25555365964558996,31.7447223,0,0
1684263723.6937566,32,0.25621469999999924,31.7439727,0,0
1684263724.69137,32,0.239575471543717,31.7570915,0,0
1684263725.7049701,32,0.2394633749999997,31.7598476,0,0
1684263726.7154055,32,0.2394059161978588,31.7604484,0,0
1684263727.7132404,32,0.22539900152382034,31.7717361,0,0
1684263728.7132614,32,0.22709327499999965,31.7726726,0,0
1684263729.7101514,32,0.22607089999999808,31.7736778,0,0
1684263730.7188976,32,0.2185275566497394,31.779932,0,0
1684263731.7181027,32,0.22762983604008652,31.7739009,0,0
1684263732.715534,32,0.23048958472935277,31.7703781,0,0
1684263733.741816,32,0.23097425216527814,31.7692928,0,0
1684263734.7718816,32,0.22991337759456096,31.7699317,0,0
1684263735.754941,32,0.24134391269065847,31.7609386,0,0
1684263736.785816,32,0.24577449950721816,31.7555522,0,0
1684263737.7902071,32,0.2598295753942112,31.7432079,0,0
1684263738.7912989,32,0.24468522499999867,31.7528934,0,0
1684263739.7674458,32,0.2603603117881523,31.7423248,0,0
1684263740.7497442,32,0.2578833319797025,31.7421588,0,0
1684263741.7588258,32,0.2627358250000018,31.7382431,0,0
1684263742.7866066,32,0.2504418177342764,31.747322,0,0
1684263743.7918143,32,0.2545912051181755,31.7457866,0,0
1684263744.789924,32,0.2556325679802588,31.7446479,0,0
1684263745.7864492,32,0.2661279451779546,31.7360534,0,0
1684263746.7991557,32,0.2617793500000003,31.7377872,0,0
1684263747.8056033,32,0.26383873004922137,31.7364826,0,0
1684263748.7927308,32,0.2653532750000016,31.7350139,0,0
1684263749.781647,32,0.26974505025393636,31.7312183,0,0
1684263750.778885,32,0.25214815752090985,31.744482,0,0
1684263751.7800405,32,0.25785687500000165,31.7426109,0,0
1684263752.828028,32,0.2657715489180333,31.7358245,0,0
1684263753.8310316,32,0.26519349999999964,31.7350101,0,0
1684263754.836362,32,0.2614756500000013,31.7378215,0,0
1684263755.8809175,32,0.2569259596941599,31.7420616,0,0
1684263756.872091,32,0.26500668678836775,31.7364253,0,0
1684263757.8625078,32,0.2480535750000019,31.7488422,0,0
1684263758.8696525,32,0.2500039249999997,31.7497653,0,0
1684263759.8758283,32,0.24613727106285413,31.7530536,0,0
1684263760.8886185,32,0.24630218472908244,31.7535705,0,0
1684263761.8643942,32,0.23112904111634036,31.7657737,0,0
1684263762.8660371,32,0.22385367107410917,31.7740173,0,0
1684263763.8574646,32,0.2253100751968901,31.7745571,0,0
1684263764.8653438,32,0.22849952499999837,31.7721118,0,0
1684263765.8701968,32,0.22005220826745722,31.7784004,0,0
1684263766.8575668,32,0.23963481097497177,31.764019,0,0
1684263767.8489761,32,0.2404898654474288,31.7604236,0,0
1684263768.8481548,32,0.24924189999999857,31.7526912,0,0
1684263769.8486912,32,0.2508159249999986,31.7498855,0,0
1684263770.8565054,32,0.2542152499999988,31.7466049,0,0
1684263771.8565211,32,0.2511468285434346,31.7484092,0,0
1684263772.867666,32,0.2502431828739723,31.7494907,0,0
1684263773.874245,32,0.25606342865834236,31.7450618,0,0
1684263774.8786037,32,0.2513446789368891,31.7479457,0,0
1684263775.8807294,32,0.26023405172392966,31.7413825,0,0
1684263776.8840475,32,0.24609585380676924,31.7513694,0,0
1684263777.8803983,32,0.25818632479640996,31.7437496,0,0
1684263778.8988934,32,0.26495140866170536,31.7367668,0,0
1684263779.910971,32,0.25534877546065854,31.7431125,0,0
1684263780.922531,32,0.263434499999998,31.7378749,0,0
1684263781.926333,32,0.25704752709372314,31.741949,0,0
1684263782.9250307,32,0.2483234999999997,31.749731,0,0
1684263783.9122376,32,0.24976672487308368,31.7501316,0,0
1684263784.9125419,32,0.24817802499999964,31.7514839,0,0
1684263785.916385,32,0.2447133500000005,31.7545261,0,0
1684263786.9250007,32,0.2499286940885547,31.7509517,0,0
1684263787.930123,32,0.24169779999999985,31.7568321,0,0
1684263788.9067955,32,0.24223293604058424,31.7575778,0,0
1684263789.899262,32,0.232104604128057,31.7657794,0,0
1684263790.8960106,32,0.23951440689641695,31.7615318,0,0
1684263791.9349387,32,0.2345034366634013,31.7647228,0,0
1684263792.9470885,32,0.2464143864176962,31.7557849,0,0
1684263793.953333,32,0.23890313346487035,31.7600479,0,0
1684263794.9370263,32,0.24188963048792245,31.7585029,0,0
1684263795.9266882,32,0.2505505717476471,31.7512836,0,0
1684263796.9318442,32,0.23941327499999954,31.7587261,0,0
1684263797.9430118,32,0.24348889999999823,31.7569541,0,0
1684263798.9512873,32,0.2425411746124157,31.7573604,0,0
1684263799.935648,32,0.25208337809941944,31.749855,0,0
1684263800.9290974,32,0.25169460393705767,31.7486114,0,0
1684263801.9430647,32,0.2563667250000021,31.7446289,0,0
1684263802.9643538,32,0.24597615885880356,31.7521686,0,0
1684263803.971093,32,0.24663569458120266,31.753128,0,0
1684263804.9812071,32,0.24794487500000084,31.7522697,0,0
1684263805.9743118,32,0.2577986749999992,31.744215,0,0
1684263806.973463,32,0.24186248897717602,31.7553882,0,0
1684263807.9571753,32,0.2537608415891866,31.7481155,0,0
1684263808.9737175,32,0.24564238952468695,31.7531394,0,0
1684263809.9824505,32,0.24135547499999888,31.7575435,0,0
1684263811.0099285,32,0.25777173563043076,31.7452526,0,0
1684263812.0018816,32,0.2438184000000021,31.7539958,0,0
1684263813.003784,32,0.23774718495963937,31.76058,0,0
1684263814.0068111,32,0.25899664645734505,31.7448692,0,0
1684263815.0154166,32,0.25488839359606613,31.7450637,0,0
1684263816.001342,32,0.25109563807096413,31.7481269,0,0
1684263817.0034885,32,0.25663909999999923,31.7443141,0,0
1684263818.00547,32,0.24382630689685353,31.7538299,0,0
1684263819.0100536,32,0.2483893385787408,31.7520599,0,0
1684263820.022163,32,0.25690190837415633,31.7448692,0,0
1684263821.0045938,32,0.23823286548178293,31.7583465,0,0
1684263822.0099354,32,0.24983124999999973,31.7518043,0,0
1684263823.0114374,32,0.24607382500000163,31.7535018,0,0
1684263824.0006528,32,0.2360339499999995,31.7618732,0,0
1684263825.0038667,32,0.23888017500000203,31.7612705,0,0
1684263826.0033667,32,0.22699462500000145,31.7706584,0,0
1684263827.019352,32,0.24107033103418363,31.7612476,0,0
1684263828.018361,32,0.2339316500000006,31.7651042,0,0
1684263829.0296462,32,0.23160407539358943,31.7677459,0,0
1684263830.0461974,32,0.23565339802947208,31.7650184,0,0
1684263831.0684228,32,0.23133337677153076,31.7679462,0,0
1684263832.0648386,32,0.2356276750000017,31.7650871,0,0
1684263833.052254,32,0.24067789999999878,31.7604751,0,0
1684263834.0606103,32,0.23472315000000066,31.7643165,0,0
1684263835.101579,32,0.2475740561016805,31.754774,0,0
1684263836.1179333,32,0.246324671728792,31.7538871,0,0
1684263837.138524,32,0.2316789384240108,31.7654685,0,0
1684263838.1720762,32,0.2602395920467575,31.7447776,0,0
1684263839.1741736,32,0.2465415249999987,31.7517223,0,0
1684263840.2023244,32,0.24257651370543026,31.7562694,0,0
1684263841.2102475,32,0.24555940716323799,31.7547931,0,0
1684263842.2261825,32,0.2581433009860644,31.7444133,0,0
1684263843.2337477,32,0.25933695000000156,31.7414131,0,0
1684263844.2303894,32,0.25857264999999874,31.7414245,0,0
1684263845.238341,32,0.2584804253937055,31.7415008,0,0
1684263846.2637432,32,0.2428606110231023,31.7540512,0,0
1684263847.2792947,32,0.24213574384089936,31.7571201,0,0
1684263848.2994776,32,0.26772811428508314,31.7371826,0,0
1684263849.3140202,32,0.25020027500000097,31.7472763,0,0
1684263850.3288574,32,0.2427201248064327,31.7553291,0,0
1684263851.3386006,32,0.24973663300525537,31.7512645,0,0
1684263852.3384514,32,0.24224812500000148,31.7564544,0,0
1684263853.358596,32,0.2507659120074624,31.7506599,0,0
1684263854.3557837,32,0.2519019040651948,31.7486171,0,0
1684263855.3511384,32,0.25531915000000005,31.7454681,0,0
1684263856.3613594,32,0.24893720177197426,31.749958,0,0
1684263857.4145432,32,0.2450612474687627,31.7539787,0,0
1684263858.4508176,32,0.2527269262652091,31.7485656,0,0
1684263859.47715,32,0.24207340863232288,31.7560997,0,0
1684263860.4792256,32,0.2557786786592578,31.7466278,0,0
1684263861.4795625,32,0.24132732499999765,31.7562637,0,0
1684263862.4970605,32,0.24066558701557386,31.7587356,0,0
1684263863.5065122,32,0.24940402499999959,31.7522239,0,0
1684263864.5092475,32,0.2475948499999996,31.7523689,0,0
1684263865.5097933,32,0.2506216098521394,31.7499694,0,0
1684263866.5089753,32,0.2465616000000006,31.7527446,0,0
1684263867.5301151,32,0.2259789000000021,31.7697658,0,0
1684263868.538623,32,0.23283397148401636,31.7676734,0,0
1684263869.558638,32,0.22278985000000162,31.7753028,0,0
1684263870.5942485,32,0.2289028494748524,31.7719078,0,0
1684263871.584034,32,0.23552489390811876,31.7659797,0,0
1684263872.5816574,32,0.2473169249999998,31.7553424,0,0
1684263873.5789912,32,0.24297672499999923,31.7566871,0,0
1684263874.5836153,32,0.24910124088707689,31.7520427,0,0
1684263875.579949,32,0.25639429340043485,31.7453136,0,0
1684263876.5865011,32,0.24992515000000015,31.7491226,0,0
1684263877.5761337,32,0.2338591499999998,31.7627372,0,0
1684263878.5733554,32,0.2485566749999979,31.7537021,0,0
1684263879.5733254,32,0.2608098152447843,31.7421302,0,0
1684263880.6200666,32,0.25150431096018083,31.7472534,0,0
1684263881.6319706,32,0.247199838178425,31.7517185,0,0
1684263882.7159016,32,0.24703147996293848,31.7527332,0,0
1684263883.7263286,32,0.25001951477850404,31.7505245,0,0
1684263884.7291815,32,0.25086348956684884,31.7494106,0,0
1684263885.752168,32,0.25121652500000025,31.7489089,0,0
1684263886.7673445,32,0.2469389688975006,31.7522411,0,0
1684263887.7766988,32,0.253994166009693,31.7472381,0,0
1684263888.7774386,32,0.2540326499999992,31.7462215,0,0
1684263889.774656,32,0.26334149999999834,31.7385711,0,0
1684263890.784677,32,0.2524664673225349,31.7457637,0,0
1684263891.7835615,32,0.25478230000000224,31.7453269,0,0
1684263892.7710395,32,0.2511090471545974,31.7481689,0,0
1684263893.7609491,32,0.23322322334975346,31.76301,0,0
1684263894.7605033,32,0.2297754999999997,31.7687816,0,0
1684263895.77046,32,0.2237826926110262,31.7747478,0,0
1684263896.7823865,32,0.22210982499999954,31.7772617,0,0
1684263897.8208942,32,0.23361414670529493,31.7684822,0,0
1684263898.822117,32,0.2224555576776852,31.7757549,0,0
1684263899.8221846,32,0.2250631266260652,31.7751026,0,0
1684263900.8573573,32,0.21216089173301303,31.785324,0,0
1684263901.8624797,32,0.2360732971873641,31.7681026,0,0
1684263902.8713312,32,0.22812564999999996,31.77112,0,0
1684263903.921135,32,0.23053890169493954,31.7697772,0,0
1684263904.9220781,32,0.21467542500000203,31.7822151,0,0
1684263905.927548,32,0.2188768999999997,31.7813415,0,0
