t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681588612.1673512, 3.2, -3.40685e-06, -1.769696e-06, 3.610909e-06, 212.0928, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588618.6769912, -3.2, 2.73488e-06, -1.696613e-06, 3.059614e-06, 325.6421, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419191, 0.966
1681588625.1668694, 3.2, -2.895039e-06, -1.769696e-06, 3.418836e-06, 209.039, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588631.6496744, -3.2, 2.588649e-06, -1.696613e-06, 3.00157e-06, 323.775, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588638.1441875, 3.2, -1.715263e-05, -1.62353e-06, 1.730909e-05, 185.3616, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588644.638725, -3.2, -1.093778e-05, -1.842779e-06, 1.101984e-05, 189.313, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419252, 0.966
1681588651.1043484, 3.2, -1.686016e-05, -1.842779e-06, 1.754215e-05, 185.4638, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588657.6236584, -3.2, -1.079155e-05, -1.769696e-06, 1.037164e-05, 189.8535, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588664.1411169, 3.2, -1.525161e-05, -1.842779e-06, 1.508134e-05, 186.6187, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588670.642156, -3.2, -8.159379e-06, -1.696613e-06, 7.992192e-06, 191.9546, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588677.154146, 3.2, -1.444734e-05, -1.769696e-06, 1.441019e-05, 187.3133, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588683.6548274, -3.2, -7.501336e-06, -1.62353e-06, 8.190788e-06, 192.6779, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588690.1933842, 3.2, -1.393553e-05, -1.62353e-06, 1.395716e-05, 186.9415, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588696.6966388, -3.2, -6.404599e-06, -1.696613e-06, 7.121462e-06, 194.677, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588703.2131765, 3.2, -1.225386e-05, -1.550447e-06, 1.201928e-05, 188.3655, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588709.7199333, -3.2, -6.112135e-06, -1.769696e-06, 6.715103e-06, 195.4464, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419252, 0.966
1681588716.2027974, 3.2, -1.159582e-05, -1.62353e-06, 1.138043e-05, 188.591, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588722.693891, -3.2, -5.965903e-06, -1.842779e-06, 6.244024e-06, 197.5702, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588729.18721, 3.2, -1.19614e-05, -1.769696e-06, 1.165781e-05, 188.6773, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588735.7111666, -3.2, -6.697062e-06, -1.769696e-06, 7.050473e-06, 195.4464, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588742.2042792, 3.2, -1.115713e-05, -1.769696e-06, 1.173009e-05, 188.324, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588748.719249, -3.2, -5.746556e-06, -1.696613e-06, 6.363176e-06, 196.1478, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588755.2280407, 3.2, -1.188829e-05, -1.842779e-06, 1.201928e-05, 188.4159, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588761.7007313, -3.2, -4.796051e-06, -1.769696e-06, 5.087297e-06, 198.9466, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588768.218189, 3.2, -1.174205e-05, -1.769696e-06, 1.184397e-05, 188.9386, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588774.7072964, -3.2, -5.746556e-06, -1.696613e-06, 5.803607e-06, 196.7894, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588781.2004964, 3.2, -1.130336e-05, -1.696613e-06, 1.2381e-05, 188.3558, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588787.6925702, -3.2, -5.746556e-06, -1.842779e-06, 6.01288e-06, 197.1652, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588794.2090547, 3.2, -1.203452e-05, -1.696613e-06, 1.188578e-05, 188.7315, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588800.716688, -3.2, -4.576703e-06, -1.915862e-06, 5.069709e-06, 198.44, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588807.2019165, 3.2, -1.10109e-05, -1.769696e-06, 1.158555e-05, 188.4822, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588813.7349086, -3.2, -6.258367e-06, -1.62353e-06, 6.785662e-06, 196.0618, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588820.2706196, 3.2, -1.108401e-05, -1.769696e-06, 1.152476e-05, 189.0714, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588826.7678118, -3.2, -4.722935e-06, -1.769696e-06, 5.411913e-06, 198.9246, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588833.2509706, 3.2, -1.108401e-05, -1.842779e-06, 1.094776e-05, 189.5027, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588839.7886844, -3.2, -4.649818e-06, -1.842779e-06, 5.318462e-06, 198.9466, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588846.285905, 3.2, -9.841043e-06, -1.769696e-06, 9.71119e-06, 190.579, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588852.75725, -3.2, -3.626197e-06, -1.842779e-06, 4.264276e-06, 206.939, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588859.267704, 3.2, -1.137648e-05, -1.842779e-06, 1.171928e-05, 188.6237, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419191, 0.966
1681588865.7526515, -3.2, -6.623946e-06, -1.769696e-06, 6.785662e-06, 196.4071, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419191, 0.966
1681588872.2356293, 3.2, -1.049908e-05, -1.769696e-06, 1.04188e-05, 188.5557, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588878.7307746, -3.2, -5.892788e-06, -1.842779e-06, 6.01288e-06, 195.5137, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
